,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,ComMTM,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_ComPctContrib,QP_UpgMES,QP_LogDealSize,QP_Indirect(1/0),QP_ComDelgPriceL4PofL,QP_EndOfQtr,QP_ClientSeg=E,PV_ComMedPofL,PV_ComLogListPrice,PV_ComPctContrib,PV_UpgMES,PV_LogDealSize,PV_Indirect(1/0),PV_ComDelgPriceL4PofL,PV_EndOfQtr,PV_ClientSeg=E,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
147,S,Power,OTHER POWER,O/S I,DB2 / QUERY / SQL,,,917.0,0.686844704221,0.0412232438734,0.66,0.7,0.72,0.611619160061,0.408365676865,0.159686102101,0.624006820946,0.132715089618,0.636941786827,0.743175597434,0.00126708094719,1.302754,0,-0.069533,-0.018854,-0.012675,-0.166742,0.019598,0,-0.002322,0.0,0,5.1e-05,0.2356621,0.0,0.0,0.0031944,0,0.4237455,0.99789323661795848,0.031582553166709326,0.0074424780749381414,1.0600000000000001,0,0.420723009815,0.686844704221,0.94641432825,0.389737747132,0.356566982647,0.712837787161,0.967241031329,0.416463558779,0.400047439262
148,S,Power,OTHER POWER,O/S I,DB2 / QUERY / SQL,5661a,,186.0,0.701152654682,0.0142824458321,0.699999999999,0.7,0.700000000001,0.0,0.699999999999,0.0,0.7,0.0,0.7,0.0237635968777,0.000216982345289,-61027862.30477,0,0,233.27959,0.000155,-0.194444,61027863.581799,-0.000209,0,0.0,0,0,0.0,0.4845171,0.0,0.0,0.3385309,0,0.98936667913151422,0.0014767522905377725,-0.0011526546819579098,1.0600000000000001,0,0.498655913978,0.701152654682,0.999689851779,0.28852241111,0.288385647494,0.741662728661,0.999298121679,0.327464618578,0.327175758172
149,S,Power,OTHER POWER,O/S I,DB2 / QUERY / SQL,5661a,5661WQEa,183.0,0.701062261043,0.0143306849539,0.699999999999,0.7,0.7,2.27247569936,-0.436237849679,-3.7196267989e-06,0.700001859813,-3.7196267989e-06,0.700001859813,0.270550079846,0.000217177805448,0,0,0,0,0,-0.194394,1.277705,0,0,0,0,0,0,0,0.0,0.0,0,0,1.0,6.9839143769335883e-14,-0.0010622610428636658,1.0600000000000001,0,0.5,0.701062261043,0.999686266913,0.286562634521,0.286424290114,0.741669493264,0.999293642456,0.325652759801,0.325362213592
150,S,Power,OTHER POWER,O/S I,DB2 / QUERY / SQL,5662a,,122.0,0.701229508197,0.0135245901639,0.7,0.7,0.700000000001,7.51138765705,-3.05569382852,-7.16852943891e-06,0.700003584265,5.57703346538,-2.08851673269,0.3101880536,0.00017578125,0,0,0,0,0,-0.15,1.214286,0,0,0,0,0,0,0,0.0,0.0,0,0,1.0,7.5234283947799228e-14,-0.0012295081968031196,1.0600000000000001,0,0.5,0.701229508197,0.998757024382,0.28674748588,0.28623567239,0.741291548091,0.998548189045,0.325401516825,0.324828780356
151,S,Power,OTHER POWER,O/S I,DB2 / QUERY / SQL,5662a,5662WQEa,121.0,0.701239669422,0.01357989812,0.7,0.7,0.700000000001,8.42360201982,-3.51180100991,-0.00017263454705,0.700086317274,6.15816201752,-2.37908100876,0.271711272223,0.00017578125,0,0,0,0,0,-0.15,1.214286,0,0,0,0,0,0,0,0.0,0.0,0,0,1.0,7.5555205250253507e-14,-0.001239669421527978,1.0600000000000001,0,0.5,0.701239669422,0.998746407684,0.286756024724,0.286239839653,0.741285681631,0.998538354711,0.325395356935,0.324818602264
152,S,Power,OTHER POWER,O/S I,DB2 / QUERY / SQL,5733a,,279.0,0.696504659498,0.0312446872297,0.699999999999,0.7,0.7,0.0,0.699999999999,0.0,0.7,0.0,0.7,0.12062058654,0.000954230241386,0,-0.046395,-0.047898,0,-0.003295,-0.151948,1.467656,0.002546,0,0,0.0,0.0228729,0,0.3796855,0.0,0.0,0.3970563,0,0.99875474067967351,0.024603135845438637,0.0034816189314152979,1.0600000000000001,0,0.415734767025,0.696504659498,0.99453022962,0.401377122582,0.399128751262,0.729263686983,0.980430981745,0.429596997806,0.421133849884
153,S,Power,OTHER POWER,O/S I,DB2 / QUERY / SQL,5733a,5733WQEa,268.0,0.69636119403,0.0318712660334,0.699999999999,0.7,0.700000000001,-6065945684.66,2547697188.25,0.641356438574,0.430630295799,0.280709516652,0.582102003006,0.264577260227,0.000986366146953,0,-0.052996,-0.055778,0,-0.003181,-0.151967,1.499905,0.00263,0,0,0.0,0.007732,0,0.3897062,0.0,0.0,0.3825155,0,0.4262592236024525,0.024186272417976308,0.0036245212009713423,1.0600000000000001,0,0.42,0.69636119403,0.99367408417,0.395090362688,0.392506617121,0.729274621181,0.979822014107,0.423747835801,0.415148802947
154,S,Power,OTHER POWER,O/S I,IBM I / SYSTEM I / I5/OS,,,4839.0,0.616515378872,0.0799558847155,0.4464,0.66,0.7668,0.0,0.4464,0.0,0.66,0.0,0.66,0.000116708335115,0.00828464520147,1.390264,0.00391,-0.070882,0,-0.070412,0.043864,0,-0.006841,0.008746,0.0,0.026966,0.0,0,0.0,1.4e-06,0,0.0009479,0.0072889,0.98713813661253957,0.070504655267788416,0.032949604140955824,1.0600000000000001,0,0.250190121926,0.616515378872,0.716918607542,0.58219842848,0.408936177832,0.601500719893,0.803919805763,0.582615065967,0.468007372754
155,S,Power,OTHER POWER,O/S I,IBM I / SYSTEM I / I5/OS,5733a,,108.0,0.635340740741,0.0849728246722,0.516,0.66,0.732,0.0,0.516,0.0,0.66,0.0,0.66,0.0965703724777,0.00771429019231,2.318098,0,-0.147631,0,-0.039039,0.062351,-2.871349,-0.016359,0.024849,0.0,0,0.0001568,0,0.0170905,0.2744831,0.0002921,0.3104735,0.4632606,0.21180873659220467,0.075790688546432131,0.017315259259417681,1.0600000000000001,0,0.250583333333,0.635340740741,0.710383294747,0.58887613437,0.409358591405,0.611299534809,0.858426585255,0.588610454651,0.505149012182
156,S,Power,OTHER POWER,O/S I,IBM I / SYSTEM I / I5/OS,5770a,,4701.0,0.616059976303,0.0798835784499,0.4464,0.66,0.7668,0.0,0.4464,0.0,0.66,0.0,0.66,0.000203232774525,0.00831289507159,1.407554,0.002789,-0.06379,0,-0.071805,0.041351,0,-0.006362,0.008967,0.0,0.1182792,0.0,0,0.0,1.29e-05,0,0.0022564,0.0061201,0.98731539877936492,0.069965210639291078,0.033333985151635326,1.0600000000000001,0,0.250182301638,0.616059976303,0.718454707273,0.581981234748,0.409733738805,0.601291331165,0.802660083796,0.582396923311,0.467093484459
