,AdjComHighPofL,AdjComHighPrice,AdjComLowPofL,AdjComLowPrice,AdjComMedPofL,AdjComMedPrice,CCMScustomerNumber,CMDAprice,COPComHighPofL,COPComHighPrice,COPComLowPofL,COPComLowPrice,COPComMedPofL,COPComMedPrice,COPOptimalPrice,COPOptimalPriceExpectedGP,COPOptimalPriceGP,COPOptimalPriceIntervalHigh,COPOptimalPriceIntervalLow,COPOptimalPricePofL,COPOptimalPriceWinProb,COPQuotePriceExpectedGP,COPQuotePriceGP,COPQuotePriceWinProb,ClientSeg_E,ComBrand,ComCostPofL,ComDelgPriceL4,ComDelgPriceL4PofL,ComFamily,ComGroup,ComHighPofL,ComListPrice,ComLogListPrice,ComLowPofL,ComMT,ComMTM,ComMedPofL,ComMedPrice,ComPctContrib,ComQuotePrice,ComQuotePricePofL,ComRevCat,ComRevDivCd,ComRevDivCd_Orig,ComTMC,ComTMCPofL,Componentid,Cost,Countrycode,CustomerIndustryName,CustomerSecName,DealBotLineSpreadOptimalPrice,DealSize,DomBuyerGrpID,DomBuyerGrpName,GEO_CODE,Indirect_1_0,LogDealSize,OptimalPrice,OptimalPriceExpectedGP,OptimalPriceGP,OptimalPriceIntervalHigh,OptimalPriceIntervalLow,OptimalPricePofL,OptimalPriceWinProb,PTI0,PredictedQuotePrice,PredictedQuotePricePofL,QuotedPrice,QuotePriceExpectedGP,QuotePriceGP,QuotePricePofL,QuotePriceWinProb,QuoteType,TSSComponentincluded,TSSContduration,TSSContenddate,TSSContstartdate,TSSFrameOffering,TSSPricerefdate,TSSPricoptdescription,TSS_AdjComHighPofL,TSS_AdjComHighPrice,TSS_AdjComLowPofL,TSS_AdjComLowPrice,TSS_AdjComMedPofL,TSS_AdjComMedPrice,TSS_DealBotLineSpreadOptimalPrice,TSS_OptimalPrice,TSS_OptimalPriceExpectedGP,TSS_OptimalPriceGP,TSS_OptimalPriceIntervalHigh,TSS_OptimalPriceIntervalLow,TSS_OptimalPricePofL,TSS_OptimalPriceWinProb,TSS_quantity,TSScomid,TreeNode,UpgMES,WinLoss,basecharge,committedcharge,coverage_days,coverage_hours,coverage_hours_days,imt_code,instenddate,inststartdate,model,serial,servenddate,serviceduration,servlvlcode,servlvldesc,servoffcode,servoffdesc,servstartdate,sl_cntct,sl_fix_time,sl_onsite,sl_part_time,totalcharge,type,warranty,warrantyperiod,hwma_pti,ChangePeriodStopDate,ParentMapping_ComponentID,ChargeStartDate,ChargeEndDate,ctry_desc
0,0.40049471536909725,59916.63240507445,0.22127208514041816,27751.592814680323,0.34652921318424784,43461.1424960273,0026018993,0.09,,,,,,,,,,,,,,,,,1,,0.23025885045448063,0.0,0.0,,,0.40049471536909725,125418.40873,5.098361286280151,0.22127208514041816,8408a,8408-44Ea,0.34652921318424784,43461.1424960273,0.16764222167448653,125418.40873,1.0,H,75,75,28878.69862,0.23025885045448063,1,4557.522694929235,FR,Commercial,Commercial,54469.66582279495,259249.38277432558,0,0,EMEA,0,5.41371773108606,54469.66582279495,16955.219863114566,25590.967202794953,59916.63240507445,49022.69924051546,0.4343035952565538,0.6366104696817044,6510.745310353379,54469.66582279495,0.4343035952565538,54469.66582279495,16291.47765058039,25590.967202794953,0.4343035952565538,0.6366104696817044,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,0.655211030735772,7968.785010800212,0.3413970930616532,3539.729374115827,0.6986974915535518,5378.615778654102,7244.350009818374,7244.350009818374,507.372877259442,2686.8273148891394,7968.785010800212,6519.915008836537,0.6986974915535518,0.31058639607114513,1.0,18,,0,1,10368.364130964008,0.0,5.0,11.0,0.0,France,0.0,0001-01-01,44E,SETMBDR,9999-12-31,60.0,ST6,"TMS, 2 Analyses & Upd per Year",TMS,Total Microcode Support,2018-08-13,0.0,0.0,0.0,0.0,10368.364130964008,8408,D,36.0,0.0,0001-01-01,1,2018-08-13,2023-08-12,France
1,0.40049471536909725,59916.63240507445,0.22127208514041816,27751.592814680323,0.34652921318424784,43461.1424960273,0026018993,0.1,,,,,,,,,,,,,,,,,1,,0.23025885045448063,0.0,0.0,,,0.40049471536909725,125418.40873,5.098361286280151,0.22127208514041816,8408a,8408-44Ea,0.34652921318424784,43461.1424960273,0.16764222167448653,125418.40873,1.0,H,75,75,28878.69862,0.23025885045448063,1,935.4460126027105,FR,Commercial,Commercial,54469.66582279495,259249.38277432558,0,0,EMEA,0,5.41371773108606,54469.66582279495,16955.219863114566,25590.967202794953,59916.63240507445,49022.69924051546,0.4343035952565538,0.6366104696817044,1336.3542399520702,54469.66582279495,0.4343035952565538,54469.66582279495,16291.47765058039,25590.967202794953,0.4343035952565538,0.6366104696817044,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,0.40049174403846155,1628.8626306134095,0.4,1626.8626306134095,0.4002458720192308,1627.8626306134095,1627.8626306134095,1627.8626306134095,346.20830900534946,692.4166180106989,1627.8626306134095,1627.8626306134095,0.4002458720192308,0.5,1.0,19,-999.0,0,1,3660.4409188801715,0.0,0.0,0.0,0.0,France,0.0,0001-01-01,44E,SETMBDR,9999-12-31,24.0,,,SWMA PVM EE,SWMA IBM PowerVM Enterprise E.,2018-08-13,0.0,0.0,0.0,0.0,3660.4409188801715,8408,,0.0,0.0,0001-01-01,1,2021-08-13,2023-08-12,France
2,0.40049471536909725,59916.63240507445,0.22127208514041816,27751.592814680323,0.34652921318424784,43461.1424960273,0026018993,0.09,,,,,,,,,,,,,,,,,1,,0.23025885045448063,0.0,0.0,,,0.40049471536909725,125418.40873,5.098361286280151,0.22127208514041816,8408a,8408-44Ea,0.34652921318424784,43461.1424960273,0.16764222167448653,125418.40873,1.0,H,75,75,28878.69862,0.23025885045448063,1,4433.523303438429,FR,Commercial,Commercial,54469.66582279495,259249.38277432558,0,0,EMEA,0,5.41371773108606,54469.66582279495,16955.219863114566,25590.967202794953,59916.63240507445,49022.69924051546,0.4343035952565538,0.6366104696817044,6333.599132444218,54469.66582279495,0.4343035952565538,54469.66582279495,16291.47765058039,25590.967202794953,0.4343035952565538,0.6366104696817044,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,0.6687786195644936,6774.00667794771,0.35094791180805346,3012.552789202054,0.717399272778839,4555.5128695779595,6158.187889043373,6158.187889043373,313.3509492034933,1724.6645856049436,6774.00667794771,5542.369100139035,0.717399272778839,0.24005451100984354,1.0,20,,0,1,0.0,8584.045346449395,7.0,24.0,0.0,France,0.0,0001-01-01,44E,SETMBDR,2021-08-13,36.03,M2B,"6h Committed Fix,24x7",WSU,Warranty Service Upgrade,2018-08-13,0.5,6.0,3.0,3.0,8584.045346449395,8408,D,36.0,0.0,0001-01-01,1,2018-08-13,2021-08-13,France
3,0.40049471536909725,59916.63240507445,0.22127208514041816,27751.592814680323,0.34652921318424784,43461.1424960273,0026018993,0.11,,,,,,,,,,,,,,,,,1,,0.23025885045448063,0.0,0.0,,,0.40049471536909725,125418.40873,5.098361286280151,0.22127208514041816,8408a,8408-44Ea,0.34652921318424784,43461.1424960273,0.16764222167448653,125418.40873,1.0,H,75,75,28878.69862,0.23025885045448063,1,2293.6416655162616,FR,Commercial,Commercial,54469.66582279495,259249.38277432558,0,0,EMEA,0,5.41371773108606,54469.66582279495,16955.219863114566,25590.967202794953,59916.63240507445,49022.69924051546,0.4343035952565538,0.6366104696817044,3276.632347425901,54469.66582279495,0.4343035952565538,54469.66582279495,16291.47765058039,25590.967202794953,0.4343035952565538,0.6366104696817044,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,0.4002005544313726,3990.9420269848033,0.4,3988.9420269848033,0.4001002772156863,3989.9420269848033,3989.9420269848033,3989.9420269848033,848.1501807342709,1696.3003614685417,3989.9420269848033,3989.9420269848033,0.4001002772156863,0.5,1.0,21,-999.0,0,1,8875.396010041186,0.0,0.0,0.0,0.0,France,0.0,0001-01-01,44E,SETMBDR,9999-12-31,24.0,,,SWMA AIX ENTED,SWMA AIX Enterprise Edition,2018-08-13,0.0,0.0,0.0,0.0,8875.396010041186,8408,,0.0,0.0,0001-01-01,1,2021-08-13,2023-08-12,France
4,0.40049471536909725,59916.63240507445,0.22127208514041816,27751.592814680323,0.34652921318424784,43461.1424960273,0026018993,0.1,,,,,,,,,,,,,,,,,1,,0.23025885045448063,0.0,0.0,,,0.40049471536909725,125418.40873,5.098361286280151,0.22127208514041816,8408a,8408-44Ea,0.34652921318424784,43461.1424960273,0.16764222167448653,125418.40873,1.0,H,75,75,28878.69862,0.23025885045448063,1,7866.262114944886,FR,Commercial,Commercial,54469.66582279495,259249.38277432558,0,0,EMEA,0,5.41371773108606,54469.66582279495,16955.219863114566,25590.967202794953,59916.63240507445,49022.69924051546,0.4343035952565538,0.6366104696817044,11237.524290506046,54469.66582279495,0.4343035952565538,54469.66582279495,16291.47765058039,25590.967202794953,0.4343035952565538,0.6366104696817044,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,0.6282685256967414,11661.748453422328,0.3227754913570833,4861.982961097677,0.7038143260502615,7459.2723899467055,10601.589503111207,10601.589503111207,406.49963008415125,2735.327388166321,11661.748453422328,9541.430552800086,0.7038143260502615,0.20439329741748224,1.0,23,,0,1,9416.325879356407,5646.722869034822,7.0,24.0,0.0,France,0.0,0001-01-01,44E,SETMBDR,9999-12-31,23.97,M2B,"6h Committed Fix,24x7",HW-MAINTENANCE,HW MAINTENANCE 706,2021-08-14,0.5,6.0,3.0,3.0,15063.048748391227,8408,D,36.0,-0.04198893596440462,0001-01-01,1,2021-08-14,2023-08-12,France
5,0.5665349770726034,6493.114638654474,0.36150968631402897,3665.1773964763547,0.45726563453859337,4636.002108226862,0026018993,0.1,,,,,,,,,,,,,,,,,1,,0.3932557186424525,4197.01228,0.4139664820201059,,,0.5665349770726034,10138.53165,4.005975061261752,0.36150968631402897,7014a,7014-T42a,0.45726563453859337,4636.002108226862,0.01788240364785155,10138.53165,1.0,H,75,75,3987.03555,0.3932557186424525,2,1047.498131649948,FR,Commercial,Commercial,5902.831489685886,259249.38277432558,0,0,EMEA,0,5.41371773108606,5902.831489685886,1377.937137139943,1915.7959396858855,6493.114638654474,5312.548340717297,0.5822175925925018,0.6849346955511999,1496.4300924222227,5902.831489685886,0.5822175925925018,5902.831489685886,1312.195108686977,1915.7959396858855,0.5822175925925018,0.6849346955511999,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,0.6654449880085741,3669.205749911684,0.35710012701472044,1683.2808635423319,0.7076406923879902,2507.1202265926236,3335.6415908288036,3335.6415908288036,423.7585884707771,2288.1434591788557,3669.205749911684,3002.077431745923,0.7076406923879902,0.5134737768945059,1.0,22,,0,1,2946.2677776782725,1767.4826138833175,7.0,24.0,0.0,France,0.0,0001-01-01,T42,SET1BDW,9999-12-31,47.97,M2B,"6h Committed Fix,24x7",HW-MAINTENANCE,HW MAINTENANCE 706,2019-08-14,0.5,6.0,3.0,3.0,4713.75039156159,7014,A,12.0,0.3859680205061609,0001-01-01,2,2019-08-14,2023-08-12,France
6,0.5665349770726034,6493.114638654474,0.36150968631402897,3665.1773964763547,0.45726563453859337,4636.002108226862,0026018993,0.08,,,,,,,,,,,,,,,,,1,,0.3932557186424525,4197.01228,0.4139664820201059,,,0.5665349770726034,10138.53165,4.005975061261752,0.36150968631402897,7014a,7014-T42a,0.45726563453859337,4636.002108226862,0.01788240364785155,10138.53165,1.0,H,75,75,3987.03555,0.3932557186424525,2,98.53077879400206,FR,Commercial,Commercial,5902.831489685886,259249.38277432558,0,0,EMEA,0,5.41371773108606,5902.831489685886,1377.937137139943,1915.7959396858855,6493.114638654474,5312.548340717297,0.5822175925925018,0.6849346955511999,140.75685873161814,5902.831489685886,0.5822175925925018,5902.831489685886,1312.195108686977,1915.7959396858855,0.5822175925925018,0.6849346955511999,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,0.7586825387396822,393.44314950617024,0.44342302283863155,200.9857294575702,0.7891186699945102,282.81456385733014,357.67559046015475,357.67559046015475,50.61850393846904,259.1448116661527,393.44314950617024,321.90803141413926,0.7891186699945102,0.5858342123916993,1.0,24,,0,1,0.0,453.2595717988057,7.0,24.0,0.0,France,0.0,0001-01-01,T42,SET1BDW,2019-08-13,12.03,M2B,"6h Committed Fix,24x7",WSU,Warranty Service Upgrade,2018-08-13,0.5,6.0,3.0,3.0,453.2595717988057,7014,A,12.0,0.0,0001-01-01,2,2018-08-13,2019-08-13,France
7,0.0,0.0,0.0,0.0,0.0,0.0,0026018993,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OTHER POWER,0.0,0.0,0.0,POWER SYSTEMS HIPO,OTHER,0.0,0.0,0.0,0.0,5313a,5313-HPOa,0.0,,,0.0,0.0,H,75,75,0.0,0.0,3,,FR,Commercial,Commercial,0.0,259249.38277432558,0,0,EMEA,0,5.41371773108606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-01-01,,,,France
8,0.0,0.0,0.0,0.0,0.0,0.0,0026018993,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OTHER POWER,0.0,0.0,0.0,AIX SPO,O/S AIX,0.0,0.0,0.0,0.0,5692a,5692-A6Pa,0.0,,,0.0,0.0,S,75,75,0.0,0.0,4,,FR,Commercial,Commercial,0.0,259249.38277432558,0,0,EMEA,0,5.41371773108606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-01-01,,,,France
9,0.0,0.0,0.0,0.0,0.0,0.0,0026018993,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OTHER POWER,0.0,0.0,0.0,AIX SPO,O/S AIX,0.0,0.0,0.0,0.0,5692a,5692-A6Pa,0.0,,,0.0,0.0,S,75,75,0.0,0.0,5,,FR,Commercial,Commercial,0.0,259249.38277432558,0,0,EMEA,0,5.41371773108606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,Y,60.0,2023-08-12,2018-08-13,ServiceSuite,2018-08-13,C60 N PREPAID ILF ULL PP EPROT,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-01-01,,,,France
